ROC
---

Sens      Spec

0.8169    0.9457
0.8127    0.9466
0.8042    0.9472
0.7924    0.9473
0.7808    0.9470
0.7677    0.9477
0.7579    0.9473
0.7483    0.9471
0.7409    0.9469
0.7353    0.9465
0.7310    0.9465
0.7271    0.9461
0.7244    0.9460
0.7221    0.9459
0.7198    0.9458
0.7171    0.9460
0.7150    0.9457
0.7135    0.9455
0.7119    0.9454
0.7108    0.9453
0.7097    0.9451
0.7082    0.9453
0.7075    0.9450
0.7067    0.9447
0.7059    0.9448
0.7053    0.9446
0.7042    0.9447
0.7036    0.9445
0.7031    0.9443
0.7021    0.9444
0.7021    0.9442
