ROC
---

Sens      Spec

0.9992    0.0918
0.9935    0.2754
0.9907    0.3169
0.9821    0.4568
0.9737    0.5355
0.9565    0.6094
0.9506    0.6272
0.9292    0.6803
0.9113    0.7129
0.8920    0.7420
0.8791    0.7607
0.8571    0.7859
0.8399    0.8046
0.8195    0.8237
0.7997    0.8399
0.7761    0.8573
0.7617    0.8672
0.7336    0.8829
0.7089    0.8947
0.6827    0.9055
0.6639    0.9128
0.6327    0.9232
0.6061    0.9306
0.5829    0.9364
0.5499    0.9437
0.5116    0.9506
0.4853    0.9546
0.4515    0.9595
0.4211    0.9633
0.3821    0.9675
0.3613    0.9696
0.3239    0.9729
0.2942    0.9752
0.2662    0.9772
0.2387    0.9791
0.2160    0.9807
0.1919    0.9821
0.1727    0.9833
0.1518    0.9845
0.1329    0.9856
0.1215    0.9864
0.1051    0.9873
0.0940    0.9880
0.0824    0.9888
0.0737    0.9894
0.0649    0.9901
0.0577    0.9906
0.0516    0.9910
0.0457    0.9915
0.0401    0.9920
0.0361    0.9923
0.0326    0.9927
0.0297    0.9930
0.0267    0.9933
0.0247    0.9936
0.0224    0.9939
0.0207    0.9941
0.0190    0.9944
0.0176    0.9946
0.0164    0.9948
